"","participant_id","comments","condition","block3_condition"
"257","p260","OH MY GOODNESS.  THE SECOND HALF WAS DIFFICULT.  DIFFICULT BUT FUN.  WHEN I WAS THE SENDER AND MY PARTNER GOT IT RIGHT I TRIED TO REMEMBER WHAT SHAPE WENT WITH WHAT IMAGE AND VICE VERSA BUT WE STILL GOT THINGS WRONG.  THE FIRST HALF WAS VERY EASY BUT THE SECOND HALF THREW ME COMPLETELY.  I ALSO DID SILLY LITTLE THINGS IN MY HEAD EG THE BUILDINGS SOMEHOW REMINDED ME OF BETHLEHEM SO I PAIRED THAT UP WITH THE STAR BUT MY PARTNER SEEMED TO PAIR THE BUILDINGS UP WITH THE SQUARE SO I WENT ALONG WITH THAT ETC.  WOULD ENJOY DOING AGAIN BUT AM NOT SURE I WOULD DO ANY BETTER :-).  THANK YOU FOR THE OPPORTUNITY TO TAKE PART :-) X ","random_associations","objects"
"258","p261","Thank you","random_associations","emotions"
"259","p262","For the last few experiments that got more difficult i tried to figure out if there was a pattern in which the receiver was choosing and selecting the photos.","random_associations","emotions"
"260","p263","tried to combine the colours with the shapes for example I tried to put red with the cross because of the 'red cross' and I picked the yellow splodge to go with the star because stars are yellow.  With the emotions I put the cross man with the cross shape and the star with the couple as they were 'star crossed lovers'.  It obviously didn't always work.  I didn't take any notes just remembered them.","fixed_associations","emotions"
"261","p264","I have no comments.","random_associations","objects"
"262","p265","I observed the pattern and memorised it by forming mental pairs - eg banana - circle pig-star etc.","random_associations","objects"
"263","p266",NA,"fixed_associations","objects"
"264","p267","I never took notes. On the end we seemed to click on the shapes to animal/buildings/fruit.","fixed_associations","objects"
"265","p268","i remembered the yellow colour with the figure. I found the last part most difficult to associate with the pictures","fixed_associations","objects"
"266","p269","My brain hurts ","fixed_associations","coloured_shapes"
"267","p270",NA,"random_associations","objects"
"268","p271","I tried to look for a correlation but did not find any.","fixed_associations","objects"
"269","p272",NA,"random_associations","emotions"
"270","p273",NA,"fixed_associations","emotions"
"271","p274","I am extremely frustrated right now with my partner! :-D","random_associations","emotions"
"272","p275","it took a while and I was pretty rubbish in the end","random_associations","objects"
"273","p276","The first time it changed then it took a bit of time to understand what the other person was using as the symbols but when it changed again then it was much easier to just take whatever they chose and made it equal to that symbol.  ","random_associations","objects"
"274","p277","At first it was easy as the labels matched the coloured shapes. Then we figured out how to use the same shape labels but on the paint splat symbols based on their colours (matching labels to the shapes that were that colour in the previous rounds). Then for the images I guess we just randomly chose a symbol and remembered that as there were only 4 options so it was quite easy to remember it - in my own head I tried to associate things (so the girl with the sun was a circle as the sun is a circle the yelling guy was an angry 'diamond geezer' so he was the diamond shape...)","fixed_associations","emotions"
"275","p278","I think we were lucky in that we randomly got one right at the very beginning of the 2nd stage and then were able to build on that immediately and sort out a system that did for the rest of the game. The third phase got a bit confused at the beginning as I clicked on a shape without meaning to but we soon got it sorted.","random_associations","coloured_shapes"
"276","p279","it was fun","fixed_associations","emotions"
"277","p280","I was confused by the second part where the shape didnt match the pictures. Seemed to get a lot right at the end though","random_associations","objects"
"278","p281","Once I got a hang of which colour belonged to which picture I was able to get most right.","fixed_associations","objects"
"279","p282",NA,"fixed_associations","objects"
"280","p283","I used the colours and associated them with emotions e.g. yellow = happy red =angry","fixed_associations","emotions"
"281","p284",NA,"random_associations","emotions"
"282","p285","Difficult study as it went on. Very well presented and very interesting. It is easier to try and work through the survey without writing anything down.","random_associations","objects"
"283","p286",NA,"fixed_associations","emotions"
"284","p287","To be honest I had no idea what to do on the second part of the study. I  did not take any notes.","random_associations","coloured_shapes"
"285","p288",NA,"fixed_associations","emotions"
"286","p289","I tried to use colours but obviously shapes confused us","fixed_associations","coloured_shapes"
"287","p290","I was guessing by placement in the line up. i didn't take notes","random_associations","emotions"
"288","p291","this was a really really fun and interesting experiment nothing was wwritten down no notes the first part was easy and then when it changed to the like paiont colours it took quite a short time to figure out to match a shape to a colour but then the last part with the pigs and city etc that tok us quite a while to get into a rhythm to match a certain shape to a picture. that was a lot of trial and error at first and then we finally got into a rhytym and got lots right. thanks for a fun experiment.","random_associations","objects"
"289","p292",NA,"random_associations","coloured_shapes"
"290","p293","The first ones were easier as it was just shapes. The coloured sploges and animals were harder. I tried to remember what my partner had used to communicate linked to the relvant colour or picture.","random_associations","objects"
"291","p295","I enjoyed this game my partner and I quickly worked out what each other were thinking (after the first mistake). Red for rage grief/sadness is grey yellow is a happy colour and so love must be pink and starry! ","fixed_associations","emotions"
"292","p296","i allocated my own thoughts as to which shape was which emotion or colour then tried to remember to change to match the ones my partner had allocated for example if i thought a circle was red i tried to remember they thought pink and send pink to them for a circle. i tried to adapt my messaging to increase my partners chance of comprehending ","random_associations","emotions"
"293","p297","I found the first part of the experiment (merely matching shapes) very boring! But after the break when the symbols changed it became super interesting and challenging. I enjoyed it! ","random_associations","objects"
"294","p298",NA,"fixed_associations","coloured_shapes"
"295","p299","I found it really enjoyable and interesting. The two I got wrong I had a few seconds of confusion but overall it was fairly straightforward.","fixed_associations","coloured_shapes"
"296","p300","I associated certain colors with certain shapes.","random_associations","coloured_shapes"
"297","p301","after a couple of turns you could see they were picking the same ones for each but it was hard to always remember which one had been chosen for each.","fixed_associations","objects"
"298","p302","I ONLY GOT ONE WRONG IM IMPRESSED WITH MY MEMORY LOL","fixed_associations","objects"
"299","p303","the colour situation I understood and accepted the result but where the shape changed to an item I could not figure out what the other person was seeing which was very frustrating as I was trying firstly to remember their responses to mine and changed to how a colour could affect the match they would choose but found I made many mistakes in interpreting the partners choice to my sending very very frustrating exercise!","fixed_associations","objects"
"300","p304","At first I tried comparing colours to their associated feelings. Ex pink star was associated with the couple because pink=love. Some other feelings were harder to associate such as the screaming guy with the grey diamond and the yellow pentagon was also hard to associate with an emotion","fixed_associations","emotions"
"301","p305","I used my memory and tried to understand what associations the 'receiver' was making.","random_associations","coloured_shapes"
"302","p306","found it easiest to match shapes to photographs for example the girl with the sun behind her. I assigned her the star shape as I would remember the sun behind her ","random_associations","emotions"
"303","p307","i did not make notes","random_associations","coloured_shapes"
"304","p308",NA,"fixed_associations","coloured_shapes"
"305","p309","Took me a while to remember but then linked the shapes with colours","random_associations","coloured_shapes"
"306","p310","My partner and I weren't able to communicate very well about the different shapes colours etc. in the second half of the experiment. It seemed like pure luck to me whenever we were able to pick the same one. I was really confused as to how I was supposed to communicate my chosen colour and shape to them given the options available to me. I enjoyed participating in the experiment regardless though so thank you. ","random_associations","coloured_shapes"
"307","p311","My partner and I were in good sync; we stayed with shapes for basically the whole first half regardless of color; when color switched to the crucial difference we quickly synced which shapes related to which colors (I remembered at least some of them as matching the color relationships from the first half even though we ignored them at that time). We had a few stumbles but quickly adapted to each others' communication. I did not take notes.","fixed_associations","coloured_shapes"
"308","p312","The second set was almost impossible.  The first set was the easiest - simply matched the pictures ec.  In the 3rd set the photographs I tried to match a shape with a certainpicture for example the angry mad wit hthe circle.  This sometimes worked soemtimes didnt!  Enjoyable task!","fixed_associations","emotions"
"309","p313","fun game! difficult to calculate had to guess","fixed_associations","coloured_shapes"
"310","p314",NA,"random_associations","coloured_shapes"
"311","p315","We determined by getting it wrong first and then using what the initial answer was not matter how the other saw it. For example the other person said diamond was a city I guessed volcano but we used city as that was the initial guess. ","random_associations","objects"
"312","p316",NA,"random_associations","coloured_shapes"
"313","p317",NA,"random_associations","coloured_shapes"
"314","p318","Once i saw the pattern i memorised 1 shape/picture immediately and then a second making it easier to work out","fixed_associations","emotions"
"315","p319",NA,"fixed_associations","coloured_shapes"
"316","p320","was difficult once the pairs became abstract i follwed my intuition no strategy","fixed_associations","coloured_shapes"
"317","p321","I used colours as an indicator and noticed my partner making the same mistakes over and over","fixed_associations","coloured_shapes"
"318","p322","This was interesting - I only used a strategy in the second half where myself and my partner used colours to represent certain shapes. Our system was red star yellow circle grey hexagon and pink cross.","fixed_associations","coloured_shapes"
"319","p323",NA,"fixed_associations","objects"
"320","p324",NA,"fixed_associations","coloured_shapes"
"321","p325","Shapes were simple to communicate the colours I chose the shapes that had previously been filled with the same colour. For the photos of people we had to work out a system of whcih shape we were going to assign to which person so there were a few errors while we worked this out and then we both knew which ones we had matched to which.","fixed_associations","emotions"
"322","p326",NA,"random_associations","objects"
"323","p327","The coloured task wasn't easy at all and I just couldn't understand as I wanted to concentrate on the colours but there were no matches and the shapes through me.  The shape versus an object got easier as I understood what my partner was choosing but at one time we seemed at odds with each other with the banana and the pig and it seemed my partner was trying to copy the shape I had said at first but then we agreed to decide on a cross for a banana and a circle for the pig.","random_associations","objects"
"324","p328","I was confused at the second part and felt it was just luck of the draw!","fixed_associations","coloured_shapes"
"325","p329",NA,"fixed_associations","coloured_shapes"
"326","p330","I found the last section a little bit difficult but it was kind of fun.","fixed_associations","objects"
"327","p331",NA,"fixed_associations","objects"
"328","p332",NA,"fixed_associations","emotions"
"329","p333","Shapes were pretty explanatory just made a few mistakes with the diamond and pentagon","random_associations","emotions"
"330","p334","tried to associate each shape with a colour but i dont think they realised","random_associations","coloured_shapes"
"331","p335","I was able to put pictures to the shapes but the shapes/colours baffled me...I thought I had it worked out but obviously didn't! The emotions in the photos went to my mind with the shapes. ","fixed_associations","emotions"
"332","p336","I was shouting out things like for the Star linking to the pretty lady photo I was shouting out She's a star then the 2 people on one photo I was shouting out 2 people cross. It was pretty helpful","fixed_associations","emotions"
"333","p337","i kind of learnt through repitition","fixed_associations","emotions"
"334","p338",NA,"random_associations","emotions"
"335","p339","The yellow splodge looked like a star and the star was (roughly) the same colour and shape the banana. Once we figured out the tiltled square was going to be pink it matched the colour of the pig. Buildings are grey concrete and volcanoes spew red(ish) molten lava and are dangerous. I would have associated red with the cross but my partner preferred red with the square and grey with the cross. Fun experiement hope our imput helps.","random_associations","objects"
"336","p340","while i made no notes it was interesting to see the way the game evolved especially when the shapes changed for the first time. the extended pause as both of us tried to work out what the hell was going on. i think we did quite well as we established our new language but could have done better. notes would have certainly made it a much more slick operation.","random_associations","objects"
"337","p341","For the first part of the experiment it was simply enough me and the participant got all of them correct. The 2nd part was a mess at the start as we couldnt establish the colours we wanted for each. I thought it was logical to assign each symbol with a common colour like yellow for star or red for the cross however my other participant decided to assign grey to the cross and refused to change so i had to go with grey for cross and red for square. They also randomly decided to change their answers sometimes so i had to predict what they had guessed however me and the other participant came to the mutual conclusion that pentagon is pink and star is yellow.","random_associations","emotions"
"338","p342",NA,"random_associations","emotions"
"339","p343","I used intuation","fixed_associations","emotions"
"340","p344","No notes. When the change in association happened I tried to remember the association by using a short rhyme - eg Diamond geezer -for the angry man Pentangle for the woman with the sun in the background. The blobs were harder - I tried colours to associate to the shapes.","fixed_associations","emotions"
"341","p345",NA,"random_associations","emotions"
"342","p346","i did not take any notes.","fixed_associations","objects"
"343","p347","I tried to link a particular emotion object or colour with the shape.  I tried to be consistent and repetitive with the pattern.  Hopefully my partner was able to work that out.","random_associations","emotions"
"344","p348","When it came time to communicate via paint splatters I would choose the shape that corresponded with that paint splatter (for example to communicate pink I would choose the diamond shape as it had been coloured pink in previous trials). When it came time to communicate the images of people I chose the colour (corresponding to a particular shape) that I feel represents that emotion: yellow for happiness red for anger pink for love grey for sadness/depression. It seemed to work!","fixed_associations","emotions"
"345","p349","first bit was boring - then worked out what had changed (twice) and sorted it as did my partner ","fixed_associations","coloured_shapes"
"346","p350","ONCE I HAD FOUND OUT WE WERE BOTH GETTING THINGS CORRECT I TRIED TO JUST REMEMBER THEM","fixed_associations","objects"
"347","p351","This was an interesting experiment as myself and my partner appeared to adapt to each set of images and establish a code if you would say. E.g the man with the angry emotion was a certain shape the couple kissing was another. We started to learn from going back and fourth which shape we associated with each image making it easier to determine which one it may be ","random_associations","emotions"
"348","p352","Found this very difficult. Did not take notes","random_associations","emotions"
"349","p353",NA,"random_associations","emotions"
"350","p354","It was interesting. I think you can work out some sort of non-verbal system with your partner but it would take a long time. I really enjoyed it!","random_associations","coloured_shapes"
"351","p355","No comments","fixed_associations","emotions"
"352","p356","Associated colours with the shapes. When things changed it took a little while to work out what to do next but we got it eventually.","fixed_associations","coloured_shapes"
"353","p357","first of all it was shapes but then it swapped to colours based on the colours of the previous shapes. I wasn't sure if I was playing with a real person or a computer I think it was a real person as we both made 1 mistake. I found the first  the session really tiring I began to look away from the screen as it was very repetitive and needed little thought. Less tiring later.","fixed_associations","coloured_shapes"
"354","p358","I found this really interesting. I know I got quite a few wrong but I slowly and gradually started to work out the sequence. Thank you so much for letting me participate.","fixed_associations","objects"
"355","p359",NA,"fixed_associations","emotions"
"356","p360","I did it based on gut instinct and then also followed what my partner picked and stuck with that","random_associations","emotions"
"357","p361","I went for shape first then colour then realised colour was more important then shape towards the end so prioritised that.","fixed_associations","coloured_shapes"
"358","p362","We assigned a color to each shape. Diamond was pink square was grey hexagon was red and the star was yellow. If the person sent one of those shapes it meant to pick that color. For example if the sender sent a star that meant to pick the yellow shape regardless of what the shape was. It took some trial and error before we were each on the same page. ","random_associations","coloured_shapes"
"359","p363","On the first part when it switched to colours I struggled to establish between the pentagon and hexagon.","fixed_associations","emotions"
"360","p364","I enjoyed this thanks. Hope all goes well with your study!","fixed_associations","objects"
"361","p365",NA,"random_associations","coloured_shapes"
"362","p366","I think me and my partner were able to communicate via our errors very efficiently allowing us to quickly relate the shapes to the unrelated icons. ","fixed_associations","objects"
"363","p368","At first I thought this is easy but in the end it was really hard I found myself trying to interpret what the other user would do.","random_associations","coloured_shapes"
"364","p369","I remembered -  pink star pig         grey circle building    red diamond volcano   yellow hexagon banana","fixed_associations","objects"
"365","p370","I memorised which labels they were using for each shape and followed them. Took a few tries at the beginning to follow in sync with them. The pics of people were easier to remember than the splats.","fixed_associations","emotions"
"366","p371","At first I didn't realise that the colour splodged referred to the colours of the shapes in the previous set of questions. However I think I only got one wrong before figuring that out. It took me a few extra goes to understand the final set but from watching what my partner did (who obviously figured it out quicker than me) I realised that the grey shape referred to sadness the red shape to anger the pink shape to love and the yellow shape to happiness. It seems obvious now but I only worked it out by examining the choices my partner was making.","fixed_associations","emotions"
"367","p372","We both understood each other and selected a specific label for each figure so we just had to repeat it.","random_associations","objects"
"368","p373","This was really interesting! Especially when the people expressions appeared - I went with colour indicating emotion partner went (initially) with colour similarity to the picture's background. ","fixed_associations","emotions"
"369","p374",NA,"random_associations","emotions"
"370","p375",NA,"fixed_associations","objects"
"371","p376","I think this was testing reaction speed and trying to work out what the other person was thinking in the later more difficult stages of linking a shape to an object.","fixed_associations","objects"
"372","p377","I loved this! the start of the task was easy I ignored the colors of the shapes and just matched the shape. The second part where the blobs appeared I tried to associate a colour with a shape eg. a star is yellow so if the blob is yellow choose a star. A grey blob was the cross etc. In the final element I looked at what colour the object was eg pig is pink bananas are yellow and used the corresponding shape that I used for colour in the 'blob' section. So stars are yellow the star represented the yellow colour and bananas are yellow etc.","random_associations","objects"
"373","p378","I found this very interesting. I realised the relationship between the colours and the patterns and assumed that my partner did also but their answers seemed a bit more random. ","fixed_associations","coloured_shapes"
"374","p379","I tried to remember pairs of words - yellow square diamond pig... a banana was curved like a circle and buildings are square (volcano and pig took a little longer) ","random_associations","objects"
"375","p380",NA,"random_associations","coloured_shapes"
"376","p381","Stars Yellow Buildings Square Pigs Pink","random_associations","objects"
"377","p382",NA,"random_associations","emotions"
"378","p383","I started with basic ideas like circle = peach and square = building because these felt fairly sensible. While the rest came from altering my responses and paying attention to what the other player felt like things were this was especially true if they went first as sender because it gave me a better idea of what they thought. As a result it felt like a lot of compromise on my part to go back and forth confirming over multiple rounds to to arrive at a agreement as quickly as possible.","random_associations","objects"
"379","p384","I did figure out the labels although we were both a bit inconsistent/maybe forgetful occasionally but used shapes that were most similar to the objects for example like peeled banana most resembled a cross shape but for the pig I used P for pentagon and Pig. We also worked out the colours pretty quickly although again got a bit inconsistent sometimes.","random_associations","objects"
"380","p386",NA,"fixed_associations","coloured_shapes"
"381","p387","I used the colours from the shapes earlier on to identify which splodges of paint to pick for example the Circle was always yellow so I used the circle to describe the yellow splash of paint.  I tried to use the mood of the photo to match the colour the shape had been for example grey pentagon for sad face.  I don't think my partner was doing the same thing but I tried to stick to my theory in the hope they would realise what the connection I was making was.","random_associations","emotions"
"382","p388","I tried to remember previous guesses and also when an image seemed to fit or feel associated with a shape","fixed_associations","objects"
"383","p389","Two things:","random_associations","emotions"
"384","p390","It was all down to the colours when it moved onto the splodges I just tried to remember what shape appeared with which colour. And then for the images what colour would represent each image. ","random_associations","objects"
"385","p391","How we figured which labels to use was the colours of each item presented. For example at the end with the building volcano banana and pig we used grey red yellow and pink respectively and the only part we got wrong was when that happened the first time","random_associations","objects"
"386","p392","i looked at the shape of the photo of the people or how that photo came to mind in a shape form. or the colours i thought about a star being yellow etc","fixed_associations","emotions"
"387","p393","A lot of the time it seemed to be the positioning but I really don't know and it was just a guess mostly","fixed_associations","objects"
"388","p394","I associated each shape with a colour and then associated each emotion that best represented the colour or the shape like red = love = kiss","random_associations","emotions"
"389","p395",NA,"fixed_associations","coloured_shapes"
"390","p396","Task was to mutually assign shapes to colours and agree on a system with which to communicate this each round. Im uncertain whether I was genuinely playing against a human counterpart or a machine.","random_associations","coloured_shapes"
"391","p397","I learnt to connect certain characteristics with the shapes - e.g. a rotund pig = circle sharp-edged buildings = cross.","random_associations","objects"
"392","p398",NA,"random_associations","emotions"
"393","p399","The first part of the experiment was ve1ry easy for me and I think I got all the shapes and colours. It took a while for me to be able to figure out the next stage of the experiment but in the end I unde1rstood what I have to do. It was fun all th1e way though.  I did not take any notes at all. I remember the grey colour is linked to the square shape pink colour to the cross shape red to the heart shaped square and yellow to the pentagon.","random_associations","coloured_shapes"
"394","p400","By choosing the same label for a particular image we were able to guess correctly most of them","random_associations","objects"
"395","p401","When I got one right I then associated that colour or shape and tried to memorise it for when it came up again. Unfortunately I then chose the memorised shape or colour and then it was wrong so I guess that we were not learning together.","fixed_associations","emotions"
"396","p402",NA,"fixed_associations","emotions"
"397","p403","I decided some meaning between shapes and the colours. And some random association with emotions (star-angry we associated red to the diamond so red-> love -> that pic )","random_associations","emotions"
"398","p404","When the shapes in the label stopped matching the target shape in the box I was initially confused and tried to associate a colour with each shape myself (e.g. star = yellow). However after a few rounds I realised that so far each shape had only appeared as one colour so that shape should be used to represent that colour. When the icons changed again I was initially confused and tried to come up with meaningful associations myself (e.g. a volcano is pointy like the pentagon tall buildings reach up to the stars). However after a few rounds I realised from what my opponent was doing that the icons could each be matched to the colours seen so far (e.g. pigs are pink volcano lava is red buildings are grey bananas are yellow). From that point onwards my partner and I got all the rounds correct.","fixed_associations","objects"
"399","p405","After a while I figured out how the shapes and colours were connected and how this synced with my partners thinking after a while.  It was a fun experiment.","random_associations","objects"
"400","p406","Took a few goes but then both seemed to set out a good system of colour/shape etc.","random_associations","coloured_shapes"
"401","p407","Trial and error - when I noticed they were using a pig for a cube eg I did the same etc. For the colours I just memorised them as they were the partner sometimes made mistakes. ","fixed_associations","objects"
"402","p408","For the object-based questions when I was the sender I picked the shape that was the closest to the pictograph shown - the volcano tapered towards the top so that was the pentagon; the cityscape was quite blocky so that was the square; the pig had the roundest shape so that was the circle; and the banana's peel had many points so that was the star.","random_associations","objects"
"403","p409",NA,"random_associations","objects"
"404","p410","we constantly got red matched with the start shaped","random_associations","coloured_shapes"
"405","p412","N/A","fixed_associations","coloured_shapes"
"406","p413","I felt like we learned fairly quickly and agreed upon different meanings once it started becoming about colour. I will admit I expected them to follow my example as opposed to adjusting to them in the colour portion but once it came to the pictures I felt a bit guilty and thought I'd try and go with what they decided and they had obviously decided the same thing so it took a minute or two to get on board but I feel we had a similar thought process","random_associations","emotions"
"407","p414","I think the first part was really easy. I hadn't realised that I actually internalised the colours of the shapes for the second part and used that to communicate the colour to my partner. ","random_associations","emotions"
"408","p415","used certain colour to work out which shape ","random_associations","coloured_shapes"
"409","p416","I did not take notes. It was easy to establish patterns with the partner.","random_associations","emotions"
"410","p417",NA,"fixed_associations","emotions"
"411","p418","It was a really interesting experiment. The interactions between each other and our understanding of these pictures and colors were a bit different but we made it to the end of the task. I hope I will be able to take part in another one just like this in the future. Have a nice day.","fixed_associations","objects"
"412","p419","At first stuck to picking the shape but as it went on i picked the colour that corresponded with the shape.","fixed_associations","coloured_shapes"
"413","p420","The first phase was quite intuitive and I'd be surprised if anyone (assuming earnest effort) managed to fail (unless they missclicked). The second phase... I can't quite remember exactly what the symbols were but I seem to recall some basic level of intuition - both my partner and I seemed to be sympatico quite early on. The last phase involved symbols which were quite unrelated to the shapes - that is one could easily come up with any number of mnemonic matching schemes in their head. I recall thinking cross => banana because bananas are good for your health; diamonds => skyscraper because diamonds imply opulence and my partner was the one who initiated the idea of square => volcano. In my mind I conceptualized it as oh square for science. Not to sound conceited but I feel like the majority of the communication fails were when my partner was supposed to interpret my message (in contrast I don't think many - if any - of the mistakes ere me misinterpreting my partner's message. At least after the first trials when we're still trying to figure out a system). Very interesting procedure. I definitely got frustrated with my partner a few times when I was thinking oh come on! We JUST did this pairing like 2-3x it should be concrete by now you [expletive]!  ","random_associations","objects"
"414","p421","Everytime i thought we had a system my partner switched it up and made it impossible","random_associations","coloured_shapes"
"415","p422","It was very interesting to work out what my partner was doing. we used trial and error to figure out which shapes we were matching to each image and it surprisingly worked quite well. Very interesting!","random_associations","emotions"
"416","p423",NA,"fixed_associations","coloured_shapes"
"417","p424",NA,"fixed_associations","coloured_shapes"
"418","p425","Things changed from easy to complicated quite fast! Initially we were using shapes to communicated when that went out of the picture we pretty much couldn't communicate","random_associations","emotions"
"419","p426","with the colours I tried remembering what they associated with the shape and let them lead and followed. For the objects I chose the shape that resembled the object the most ","random_associations","objects"
"420","p427","The shapes seemed to have melted between part one and two! The section with pictures of people was easier - I associated kissing with the circle because it looks like a wedding ring someone feeling ill with a medical cross sign and so on.","random_associations","emotions"
"421","p428","I tried to match the shapes to the shape of the image - ie a square for squarey buildings a circle to a volcano as a triangle fits in a circle","fixed_associations","objects"
"422","p429","We paired colors with shapes and we learned it very quickly.","random_associations","coloured_shapes"
"423","p430","It was a very fun experiment. I and the other participant seemed to synch pretty fast. I was quickly able to memorize the patterns and colours. ","fixed_associations","coloured_shapes"
"424","p431","I just tried to remember which shape corrleated with which picture but by the last part of the experiment I was becomming increasingly frustrated by my inability to do so and embarassed by my performance. I felt like apologising to my partner as I was getting most of the items wrong. I felt the actuals labels I used were changing depending on my partner's response and i was becomming quite confused. In the final section I tried to find some visual similarity between the shapes and the pictures but that clearly didn't work. In the middle section I tried to remember the colours but had difficulty in doing so. I completly ignored the colours in the first section. I found this extremely challenging but did my best. Good luck with your research!","random_associations","objects"
"425","p432",NA,"random_associations","coloured_shapes"
"426","p433","In the second part (after the pause) I quickly gave up trying to figure out what was happening.","fixed_associations","objects"
"427","p434",NA,"random_associations","objects"
"428","p435",NA,"fixed_associations","coloured_shapes"
"429","p436",NA,"random_associations","coloured_shapes"
"430","p437","the other person was probably screaming at me","fixed_associations","coloured_shapes"
"431","p438","WAS TRICKY IN THE END BUT VERY INTERESTING. THANK YOU.","fixed_associations","coloured_shapes"
"432","p439","I loved the experiment. I think it was fairly easy once I realized the shape colors stayed the same. Eventually I associated a color to a shape so even when the amoeba shape was given my plan was to ignore that but focus on the color. With the images I'd associated the red with danger/anger. Pink with the cute girl grey with sadness and yellow with the couple kissing under the sun. Luckily my partner got it fairly quickly so it worked out perfectly.","fixed_associations","emotions"
"433","p440",NA,"random_associations","emotions"
"434","p441","cross pig","fixed_associations","objects"
"435","p442","As soon as the shapes change I tried to remember the original shape THAT matched to colour and it seemed that my partner had the same idea so after a few hiccups it started to become smoother. For the last batch. it was a little harder so I tried to memorise Pig - Cross Volcano - House (the shape that looked more like a house which made it easier to remember. ","random_associations","objects"
"436","p443","This is quite an interesting experiment. I found it cool that the images such as the building immediately represented a color for me. That is how I was able to link the shapes with the images because of the colors I associated with the images.","fixed_associations","objects"
"437","p444",NA,"fixed_associations","emotions"
"438","p445",NA,"fixed_associations","emotions"
"439","p446",NA,"random_associations","objects"
"440","p447","Through the course of the test I started to realise what the other person was doing and also tried to stick to the same thing myself for each image. Eventually we became in sync.","fixed_associations","emotions"
"441","p448","I didn't need to take written notes; for the initial guesses I used colour association then waited for us to match by chance on a given symbol and then remembered the matchs. ","fixed_associations","objects"
"442","p449","The game seemed unfair when it changed to colours and pictures but then I worked out the pattern and stuck with that.","random_associations","objects"
"443","p450","I made a mental note on which symbol my partner chose and changed up my choices to match what they designate as the label/shape.","random_associations","emotions"
"444","p451",NA,"random_associations","emotions"
"445","p452","I couldn't figure out in the last few days how to communicate with my partner it was confusing whether to choose shapes or colors","fixed_associations","coloured_shapes"
"446","p453","intuition and memorising which went with which","fixed_associations","coloured_shapes"
"447","p454","I found the most difficult section the colour splashes but in general all was good.","fixed_associations","emotions"
"448","p455",NA,"fixed_associations","objects"
"449","p456","i wish i had taken notes on the first part of the sending as for the second part i needed to remember the sequence of the first part ","random_associations","emotions"
"450","p457",NA,"random_associations","objects"
"451","p458","I couldn't get the pattern exactly like which shape belongs to what color? ","random_associations","objects"
"452","p459","At the end I associated the colours of the pig buildings etc with the colour of the shapes. The colour of the shapes I learned in the beginning phase through following what shape my partner would assign the colours to. And vice versa I suppose. In the beginning I felt we both took 'the lead' in assigning the shapes to the colours. ","random_associations","objects"
"453","p460","I did not write anything down though started to notice that the shapes were the same colour for the first half of the test. For the second half of the test I was sending messages where the colour matched the shape then later still clicking the shape that originally had the colour that I was trying to convey. ","fixed_associations","coloured_shapes"
"454","p461","I attempted to make connections between colours and shapes but I must admit I did not find it so easy. I think a lot of my difficulty came because a lot of the shapes had red yellow blue and pink associated with each of them therefore I found it more difficult this time.","random_associations","coloured_shapes"
"455","p462","NO COMMENTS.","fixed_associations","coloured_shapes"
"456","p463",NA,"random_associations","emotions"
"457","p464","It was very interesting thanks. At first I wasn't really paying attention to the colours of the shapes so when the section started where you needed to remember which colour was linked with which shape it took me a few goes to figure out what some of them were but once I did have it figured out I think me and my partner worked together well to communicate. ","random_associations","coloured_shapes"
"458","p465",NA,"random_associations","coloured_shapes"
"459","p466","It was interesting to learn near the end that if I clicked something wrong on purpose the system still said it was the 'right shape' i.e ignoring what I had clicked. I don't think there was an actual other player..","fixed_associations","coloured_shapes"
"460","p467","The colours part confused me a bit we didn't do very well but we got into a rhythm on the objects the pig kind of looked square the banana had four sections like the cross and the town looked like diamond shape a little.. and the only one elft was the circle which looked nothing like a volcano so i remembered that!","random_associations","objects"
"461","p468","There were certain shapes I definitely associated with colours. For example red with a cross (a common medical image) or grey with a building or house shape (compared to brighter colours which a building or house is unlikely to be). These were easier to remember. There were some things that were not clearly associated with certain colours or shapes in those instances I tried to pay attention to what my partner was doing and connect with that or I tried to be consistent in my responses in the hope that my partner would notice I was using the same colour or shape with the same picture. Sometimes I thought I had established an understanding/pattern with my partner but then they would suddenly use a different colour or symbol to what we had been using and I felt confused by that. It was difficult to know if it was better to 'take the lead' to establish consistency or to 'listen' to my partner and copy what they were doing. ","random_associations","objects"
"462","p469",NA,"random_associations","objects"
"463","p470",NA,"random_associations","coloured_shapes"
"464","p471","we kind of worked out at the beginning by trial and error which one we intended to communicate based on feedback given. once a particular shape is associated with another shape we then mutually agreed to adopt that reasoning. sometimes this didn't work if new shape came up or choices we preferred were not there thus it  messed up our previous agreement on communication code.","random_associations","objects"
"465","p472","tried to use common sense","random_associations","emotions"
"466","p473","It was fascinating. The shape matching was obviously easy. When the coloured splats went wrong after the first time we quickly seemed to assign a shape to a colour and then matched correctly then when the pictures appeared I carried on using the colours as a guide (a banana is yellow volcano red pig pink city grey) and my partner seemingly did exactly the same thing.","random_associations","objects"
